Latitude,Longitude,Name,Description
40.75062401,-74.00557284,Printer Matter,Largest store dedicated to zines I've come across in NYC.
40.74432875,-74.00510905,Hauser & Wirth,"The W 18th St location has a bar, gallery space, and bookstore with a curated selection ranging from mainstream bestsellers to more niche publications."
40.75509111,3.990533282,The Drama Book Shop,Theater and film-focused bookstore that stocks play scripts as well. Not exactly my cup of tea but bring your thespian friends here.
40.7437523,-73.98913799,Rizzoli Bookstore,They have a myriad of photobooks and frequent author talks.
40.72677507,-73.99659898,Mercer Street Books & Records,Compact shop filled with used books at affordable prices. I was able to find some good titles in my favorite genres.
40.73887157,-73.98998836,Fishs Eddy,All sorts of funky kitchenware can be found - some more affordable than others. Fishs Eddy also has unique NYC-themed items that would make for great souvenir gifts.
40.73253565,-73.99049308,Gothic Renaissance,Came here because my friend was looking for medieval-inspired outfits (I may be mixing my time periods together) but their clothing is super cool to look at.
40.72248507,-73.99218962,Bungee Space,Lots of underground publications and Chinese zines. Also large selection of streetwear clothes in the back. Many things to stop and look at inside.
40.72330068,-73.99243118,Mighty Lucky,"I laughed when I first walked inside because it's literally a concept store of someone's favorite things. They sell plants, tabletop art pieces, and is also a legal cannabis dispensary."
40.7151812,-74.0077466,Philip Williams Posters,Vintage posters and prints ranging from postcard-sized to full-wall hangings.
40.7270992,-73.99013847,Pageant Print Shop,I stumbled across this place by accident and was pleasantly suprised by their large selection of nature and map-themed prints.
40.72912471,-73.98560731,Archie's Press,Unique prints and posters - you'll find a lot of their stuff at various flea and craft markets.
40.72711108,-73.98893116,Toy Tokyo,Tightly-packed with blind boxes and anime trinkets.
40.71661464,3.990641888,Sweet Pickle Books,Exchange your books for pickles!
40.71407501,-73.95869006,Mociun Fine Jewelry & Home Goods,Very interesting home decor pieces ... in particular they seem to specialize in realistic-looking food pieces.
40.72631544,-73.95467717,ACRE,It's a food hall in the back but a tiny little shop in the front selling Japanese ceramic goods and kitchenware.
40.72658755,-73.95494662,Souvenir,Classic modern tchotchkes shop. Great for finding specific gifts for specific friends.
40.72645363,-73.95508023,Tula House,Beautiful plant store with gorgeous interior.
40.72754365,-73.95700775,Million Goods,"Wine bar, music, and clothing - another brainchild of someone's favorite things. If I were a man I'd buy all the clothes here for my wardrobe."
40.72854269,-73.95917397,Yoseka Stationery,Japanese stationary store.
40.72874096,73.9592281,Wilcoxson Brooklyn Ceramics,Pricey but spunky ceramic cups and bowls.
40.72908925,-73.95729628,Word,Bookstore.
40.7298387,-73.95697094,Lockwood Greenpoint,"I got a green skirt I really liked from here. Gift shop with clothing, NYC-themed trinkets, and toys."
40.6998007,-73.92779181,Secret Riso Club,One-of-a-kind zines and prints. I really want to attend one of their risograph workshops.
40.70119941,-73.91689259,Hive Mind Bookstore,Coffee shop + bookstore combo; large selection of queer and feminist literature.
40.70606753,-73.91015222,Honey Moon Coffee Shop,Coffee shop + bookstore combo.
40.70690733,-73.90896237,Lichen,Furniture and interior design store.
40.70572802,-73.90668786,Left Field NYC,Men's workwear - I got a cool t-shirt from here.
40.70351636,-73.90350113,Topos Bookstore Cafe,Coffee shop + bookstore combo.
40.70356381,-73.90373442,Saint Seneca Store,Minimalist concept store.
40.70385464,-73.98697498,usagi,Art gallery + cafe + bookstore. When I went they were displaying artwork from a famous anime illustrator.
40.6932338,-73.96122887,Outside Space Garden Center,I randomly wandered here out of curiosity and found a lovely garden as a respite from the busy city streets. It's a plant nursery.
40.68628928,-73.9746698,Greenlight Bookstore,Bookstore.
40.67390407,-73.97559506,BLOK HAUS,Plants.
40.74699686,-73.9537381,Remix Market NYC,Thrift store for furniture and home decor.
40.75651839,-73.93002233,Astoria Bookshop,Bookstore.
40.70254752,-73.90488815,Scorpion Records,Record Store.
40.71365411,-73.99414788,East Broadway Mall,Go to the second floor to find all the alternative thrift stores for trust fund babies.
40.7025424,3.987034597,FGS Outpost,I only popped in for a quick second but my interpretation is that it's a minimalist concept shop.
40.71523713,-73.99953099,Yu & Me Books,Bookstore.
40.71909875,-73.98485765,Bluestockings Cooperative Bookstore,Bookstore. Very progressive selection of books.
